home_team,avg_goals_per_match
Chad,2.6666666666666665
Russia,3.0718954248366015
Paraguay,2.9642857142857144
Anguilla,4.25
Yemen,2.9642857142857144
Senegal,2.4
Sweden,3.0193548387096776
Guyana,3.9285714285714284
Eritrea,2.3333333333333335
Philippines,3.5
Djibouti,3.909090909090909
Tonga,3.4444444444444446
Malaysia,3.5757575757575757
Singapore,2.8372093023255816
Fiji,3.75
Turkey,3.0387596899224807
United States Virgin Islands,5.0
Malawi,2.59375
Iraq,3.1486486486486487
Germany,3.6553398058252426
CuraÃ§ao,2.6666666666666665
Comoros,2.0
Afghanistan,2.909090909090909
Cambodia,3.35
Ivory Coast,3.144578313253012
Maldives,5.166666666666667
Rwanda,2.727272727272727
Jordan,2.8333333333333335
Sudan,2.731707317073171
France,3.3666666666666667
Turks and Caicos Islands,5.666666666666667
Greece,2.730769230769231
Kosovo,2.923076923076923
Sri Lanka,2.764705882352941
DR Congo,3.0476190476190474
Montserrat,5.142857142857143
Dominica,3.909090909090909
Taiwan,3.2083333333333335
British Virgin Islands,4.2
Algeria,2.901098901098901
Togo,2.4871794871794872
Equatorial Guinea,1.9090909090909092
SÃ£o TomÃ© and PrÃ­ncipe,2.0
Slovakia,3.1323529411764706
Macau,5.0
Wales,2.683333333333333
Argentina,3.3865248226950353
Belgium,3.2883435582822087
Angola,3.0789473684210527
San Marino,4.121621621621622
Qatar,3.0
Ecuador,3.126984126984127
Lesotho,2.2
Madagascar,2.56
Albania,2.3627450980392157
Finland,2.9754098360655736
New Caledonia,4.75
Ghana,2.55
Myanmar,3.076923076923077
Nicaragua,2.357142857142857
Peru,2.832167832167832
Benin,2.68
Sierra Leone,2.269230769230769
India,2.75
United States,3.0
Bahamas,3.7777777777777777
Belarus,2.8275862068965516
Kuwait,3.283333333333333
Malta,2.942857142857143
Timor-Leste,7.5
American Samoa,5.714285714285714
Somalia,1.6666666666666667
Chile,3.1393034825870645
Tajikistan,3.5
Puerto Rico,2.8461538461538463
Martinique,3.2
Cayman Islands,3.8
Yemen DPR,5.0
Czechoslovakia,3.2051282051282053
Croatia,2.9655172413793105
Burundi,2.3
Nigeria,2.6495726495726495
Bolivia,3.4825174825174825
Andorra,3.0
Gabon,2.5641025641025643
Italy,2.81767955801105
Suriname,3.5454545454545454
Lithuania,2.6818181818181817
Norway,2.832
Turkmenistan,3.3461538461538463
Spain,3.4127906976744184
Cuba,3.466666666666667
Mauritania,2.5454545454545454
Tahiti,3.6
Guadeloupe,3.25
Niger,2.888888888888889
Denmark,3.1527777777777777
Central African Republic,2.1666666666666665
Bangladesh,3.107142857142857
Barbados,2.235294117647059
Iran,2.9722222222222223
Congo,2.6875
Liechtenstein,3.3230769230769233
Thailand,3.0357142857142856
Laos,4.545454545454546
Bhutan,3.5
Morocco,2.5268817204301075
Panama,3.0833333333333335
Cape Verde,2.3
Hong Kong,3.255813953488372
German DR,3.276595744680851
Ukraine,2.4788732394366195
Venezuela,3.32967032967033
Iceland,2.6952380952380954
Israel,3.18348623853211
Saint Kitts and Nevis,4.352941176470588
Oman,2.8444444444444446
North Korea,3.0869565217391304
South Korea,3.206611570247934
Gibraltar,4.7368421052631575
Cyprus,3.1140350877192984
Palestine,3.6875
Uruguay,2.927710843373494
Mexico,3.4395604395604398
Aruba,4.4
Estonia,2.619718309859155
Georgia,2.4745762711864407
Zimbabwe,2.6
Montenegro,3.0
Indonesia,3.4166666666666665
Saint Vincent and the Grenadines,3.466666666666667
Guatemala,3.510204081632653
Mongolia,2.0
Guam,3.4285714285714284
Azerbaijan,2.5737704918032787
Libya,2.9393939393939394
Grenada,4.25
Armenia,3.1166666666666667
Tunisia,2.892857142857143
Liberia,2.2903225806451615
Syria,3.4150943396226414
Honduras,2.9489795918367347
Trinidad and Tobago,3.046153846153846
Saudi Arabia,3.1363636363636362
Uganda,2.0384615384615383
Yugoslavia,3.6551724137931036
French Guiana,6.0
Namibia,3.0
Switzerland,3.0852713178294575
Zambia,2.7222222222222223
Ethiopia,3.41025641025641
Latvia,2.6527777777777777
Jamaica,2.5616438356164384
Eswatini,2.142857142857143
United Arab Emirates,2.9518072289156625
Brunei,4.5
South Sudan,2.0
Saint Lucia,4.0
Guinea,2.980392156862745
Canada,3.0704225352112675
Seychelles,2.875
North Macedonia,2.878787878787879
Faroe Islands,2.987012987012987
Uzbekistan,3.1333333333333333
Kyrgyzstan,2.9545454545454546
Vietnam Republic,4.0
Samoa,4.25
Czech Republic,3.231707317073171
Mozambique,2.2857142857142856
Cook Islands,4.5
Brazil,3.56993006993007
Belize,3.3333333333333335
Kenya,2.75
Gambia,2.1538461538461537
Lebanon,3.0
Slovenia,2.6266666666666665
Antigua and Barbuda,3.388888888888889
Dominican Republic,3.0625
Japan,3.265486725663717
Botswana,2.9375
Tanzania,2.9
Republic of Ireland,2.900763358778626
Luxembourg,3.45
New Zealand,4.125
Bosnia and Herzegovina,3.0634920634920637
England,3.1949685534591197
China PR,3.375
Haiti,3.217391304347826
Poland,3.223076923076923
Portugal,3.1538461538461537
Australia,4.284552845528455
Cameroon,2.677685950413223
Papua New Guinea,2.75
Romania,3.021897810218978
Guinea-Bissau,2.6
Bulgaria,3.0357142857142856
Solomon Islands,4.32258064516129
Austria,3.3597122302158273
Nepal,3.466666666666667
